generoso; großzügig
aquella; jene
equivocado; falsch
pantalla; Bildschirm
número; Nummer
puerta; Tür
capital; Hauptstadt
aquel; jener
andén; Bahnsteig
destino; Ziel
empleado; Angestellter
por; aufgrund, aus, lang
agradable; angenehm
pastelería; Konditorei
enorme; riesig
pescadería; Fischgeschäft
estas; diese
esas; diese
fuente; Brunnen
perdido; sich verlaufen
espera; warte
esos; diese
estos; diese
al final de; am Ende
confundido; verwirrt
esa; diese
catedral; Kathedrale
avenida; Allee
ese; diese
ahí; dort
monumento; Denkmal
que viene; nächste
cubiertos; Besteck
impresionante; beeindruckend
padre; Vater
elegante; elegant
veinte; zwanzig
cuchillo; Messer
venir; kommen
tenedor; Gabel
flor; Blume
sorpresa; Überraschung
madre; Mutter
a punto de; gleich
cuchara; Löffel
decoración; Dekoration
de cumpleaños; Geburtstags-
mensaje; Nachricht
hacer una fiesta; machen
enviar; schicken
vamos a; werden, würden
hace sol; es ist sonnig
hacer las maletas; packen
paraguas; Regenschirm
van a; werden, werdet
celular; Handy
dirección; Adresse
gente; Leute
tal vez; vielleicht
de ida y vuelta; hin und zurück
va a; wird, werden
planear; planen
dinero; Geld
responsable; verantwortungsvoll
vas a; wirst
allá; dort
al norte; im Norden
guía; führt, Ratgeber, lenkt
isla; Insel
visitar; besuchen
voy a; werde
hacer un viaje; eine Reise machen
vuelo; Flug
souvenir; Souvenir
reservar; reservieren
popular; populär
comida rápida; Fastfood
sushi; Sushi
después; später
estar de acuerdo; einverstanden sein
un par de; ein paar
chicos; Jungs
tan; so
un rato; eine Weile
karaoke; Karaoke
estresado; gestresst
aproximadamente; ungefähr
recital; Konzert
examen; Prüfung
primero; zuerst
si; wenn
descanso; Pausa
idea; Idee
por eso; deshalb
boxeo; Boxen
dos veces por; zweimal
actividad; Aktivität
tipo de; Art von
semana; Woche
baile; Tanz
montar en bicicleta; Fahrradfahren, Fahrrad fahren
hockey; Hockey
activo; aktiv
energía; Energie
desde; ab
instructor; Trainer
horario; Öffnungszeiten
abrir; öffnen
tomar clases; nehmen
gimnasia; Gymnastik
hacer; tun, mache, anzustehen
gracias por; Danke für
útil; nützlich
noche; Nacht
lista; Liste
dulce; süß
vienen; kommen, gehören, stammen
fuera; draußen
juego; Spiel
música en vivo; Live Musik
reserva; Reservierung
venimos; kommen
vengo; komme
cerveza; Bier
no importa; Egal, ist nicht wichtig
frito; frittiert
delicioso; lecker
pollo; Hühnchen
hasta pronto; bis bald
prefiero; bevorzuge
de nada; nichts zu danken
preferimos; bevorzugen
calcetín; Socke
ancho; weit
jeans; Jeans
gris; grau
media; Strumofhose
estrecho; eng
pantalones; Hosen
color; Farbe
guante; Handschuh
rosa; pink
queremos; möchten, wollen, mögen
corbata; Krawatte
talla; Größe
bota; Stiefel
dieciocho; achtzehn
noviembre; November
feliz cumpleaños; Alles Gute zum Geburtstag
vela; Kerze
celebrar; feiert, feiern
diecisiete; siebzehn
mayo; Mai
junio; Juni
quince; fünfzehn
tenemos; Haben, haben, Wir haben
abril; April
catorce; vierzehn
todavía; immer noch
cuántos años; wie alt
trece; dreizehn
año; Jahr
dieciséis; sechzehn
febrero; Februar
cumpleaños; Geburtstag
doce; zwölf
van; gehen, fahren, fährt
luego; dann
peso; Peso
extraño; seltsam
avión; Flugzeug
barco; Schiff
especialmente; besonders
nueve; neun
vamos; gehen
mismo; selbe
jueves; Donnerstag
horrible; schrecklich
moto; Motorrad
miércoles; Mittwoch
cuando; wenn
vas; Du begleitest, gehst, Wirst
bicicleta; Fahrrad
trabajo; Arbeit
martes; Dienstag
voy; gehe, laufe, gehen
boleto; Fahrkarte
día; Tag
roto; kaputt
estación; Bahnhof
amable; freundlich
garganta; Hals
rodilla; Knie
enfermo; krank
medicina; Medikament
esta; diesen, Dieser, Dieses
cuerpo; Körper
cuello; Hals
enfermero; Krankenpfleger
espalda; Rücken
hombro; Schulter
otra vez; wieder
izquierdo; links
pierna; Bein
estómago; Magen
derecho; rechts
brazo; Arm
médico; Arzt
sin embargo; trotzdem
vóleibol; Volleyball
navegar; segeln
agosto; August
vacaciones; Ferien
turista; Tourist
pasar; verstreichen, erfolgen, geschehen
ir; gehen
encantar; lieben
vida; Leben
diferente; andere
campo; Land
por suerte; zum Glück
demasiado; zu
serie; Serie
musical; Musical
ver; sehen
en casa; zu Hause, zuhause
paella; Paella
cenar; zu Abend essen
más o menos; mehr oder weniger
les interesan; interessieren
evento; Event
próximo; nächste
les gustan; mögen, Mögen
nos gustan; gefallen
músico; Musiker
batería; Schlagzeug
les interesa; Interessiert, interessiert
relajante; entspannend
violín; Geige
cantante; Sänger
les gusta; mögen
piano; Klavier
tocar; spielen
instrumento; Instrument
pop; Popmusik
nos interesa; interessiert
nos gusta; gefällt
guitarra; Gitarre
canción; Lied
además; Außerdem
le interesan; interessieren
le gustan; gefallen, Gefallen
artista; Künstler
exposición; Ausstellung
me interesan; interessieren
me gustan; ich mag, mir gefallen, Ich mag
te interesan; interessieren dich, interessieren
videojuego; Videospiel
cosa; Sache
te gustan; Magst du
le gusta; mag
le interesa; Interessiert, interessiert
de hecho; was das betrifft
golf; Golf
karate; Karate
te interesa; interessiert, Interessiert
te gusta; du magst, Du magst
fotografía; Fotografie
poesía; Poesie
clásico; klassisch
me interesa; interessiert, interessieren
deporte; Sport
pasatiempo; Hobby
tampoco; auch nicht
muchas veces; oft
limpio; sauber
regresar; zurückkommen
ocho; acht
por supuesto; natürlich
ducharse; sich duschen
mexicano; mexikaner
hasta; bis
no sé; ich weiß es nicht
quedarse; bleiben
impaciente; ungeduldig
actriz; Schauspielerin
coche; Auto
actor; Schauspieler
maleducado; unhöflich
después de; nach
domingo; Sonntag
diente; Zahn
cepillarse; sich die Zähne putzen
mes; Monat
antes de; vor
todo el tiempo; die ganze Zeit
mano; Hand
cara; Gesicht
lavarse; sich waschen
normalmente; normalerweise
once; elf
bañarse; baden
relajarse; sich entspannen
televisión; Fernseher
a qué hora; um wie viel Uhr, Um wie viel Uhr
y media; dreißig
siete; sieben
levantarse; aufstehen
cada; jede
blog; Blog
serpiente; Schlange
desierto; Wüste
peligroso; gefährlich
bosque; Wald
mar; Meer
vaca; Kuh
pez; Fisch
mascota; Haustieren
sobre; auf, zu, worüber
revista; Zeitschriften
leer; lesen
insecto; Insekt
pingüino; Pinguin
mosquito; Mücke
planta; Pflanze
caballo; Pferd
río; Fluß
pájaro; Vogel
conocer; kennen
animal; Tier
hacer ejercicio; Sport machen
desayunar; frühstücken
mantequilla; Butter
chocolate; Schokolade
dulces; Süßigkeiten
vender; verkaufen
crudo; roh
vino; Wein
poco; wenig
menos; weniger
refresco; Softdrink
correr; laufen
salmón; Lachs
yogur; Joghurt
beber; trinken
fruta; Obst
dieta; Ernährung
cansado; müde
pescado; Fisch
comer; essen
saludable; gesund
es verdad; ist wahr, ist nicht wahr
problema; Problem
increíble; unglaublich
poema; Gedicht
salir; ausgehen
feliz; glücklich
compartir; teilen
cita; Verabredung
enamorado; verliebt
romántico; romantisch
secreto; Geheimnis
mejor amigo; bester Freund
discutir; diskutieren
antipático; unsympathisch
diario; Tagebuch
feo; hässlich
querido; liebe
enojado; wütend
escribir; schreiben
y usted; Und, und Sie, Und Sie
fotógrafo; Fotografen, Fotograf
arquitecto; Architekten, Architekt
original; authentisch, Original, originell
novela; Roman, Romans
famoso; berühmt, berühmter, berühmtes
escritor; Schriftsteller
bailarín; Tänzer
importante; bedeutsam, wichtigen, wichtige
chef; Chefkochs, Chefköchin, Chefkoch
contador; Buchhalter
disculpa; Entschuldige
profesor; Lehrer, Professor
reunión; Besprechung
usted; Sie, Ihnen
apellido; Nachname
nombre; Vorname(n), Name(n), Bezeichnung
pizzería; Pizzeria
invitación; Einladung
a las; um
seis; sechs, Sechs
temprano; früh
por la; am, Am
tarde; Nachmittag
lunes; Montag
partido; Spiel
vegetariano; Vegetarier
tiempo; Wetter, Zeit
sábado; Samstag
cena; Abendessen
entrada; Ticket
fin de semana; am Wochenende
concierto; Konzert
plan; Plan, Konzept, Planung
ocupado; beschäftigt
viernes; Freitag
hijos; Söhne
barba; Bart
corto; kurz
azul; blau
flaco; dünn
tienen; besitzt, hat, habt
quiénes; wem, wer
sobrina; Nichte
pelo; Haar
sobrino; Neffe
fuerte; stark
pelirrojo; rootharig
ojo; Auge
abuelos; Großeltern
guapo; gutaussehend
joven; jung
rubio; blond
padres; Eltern, Vätern, Väter
foto; Foto, Bild
moreno; dunkelhaarig
divertido; lustig
bajo; klein
zapato; Schuh
bigote; Schnurrbart
introvertido; introvertiert, introvertierter
chico; Junge
verde; grün
chica; Mädchen
alto; groß
camiseta; Hemd
extranjero; Ausländer
invitado; Gast
prima; Cousine
uno de; einer der, einer von, einer ihrer
sociable; geselliger, gesellige, soziale
otro; noch eins
ya; schon
ex; ehemaligen, Ex
eres; bist, du bist, Bist
cómo estás; geht es dir
cómo te llamas; heißt du
colega; Kollege, Mitarbeiter
primo; Cousin
lechuga; Salat
rico; lecker
